player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,last_first
100025,Barry,Phillips Moore,R,1937-07-09,AUS,173.0,Q1563886,Phillips Moore B.
100026,Andres,Gimeno,R,1937-08-03,ESP,185.0,Q315958,Gimeno A.
100027,Gene,Scott,R,1937-12-28,USA,185.0,Q1282493,Scott G.
100028,Manuel,Santana,R,1938-05-10,ESP,170.0,Q445602,Santana M.
100029,Rod,Laver,L,1938-08-09,AUS,173.0,Q105550,Laver R.
100030,Fred,Stolle,R,1938-10-08,AUS,190.0,Q54671,Stolle F.
100031,Dimitri,Sturdza,R,1938-11-10,SUI,,Q20431255,Sturdza D.
100032,Patricio,Rodriguez Chi,R,1938-12-20,CHI,188.0,Q7145979,Rodriguez Chi P.
100033,Wilhelm,Bungert,R,1939-04-01,GER,188.0,Q77579,Bungert W.
100034,Christian,Kuhnke,L,1939-04-13,GER,,Q461558,Kuhnke C.
100035,Ion,Tiriac,R,1939-05-09,ROU,185.0,Q924245,Tiriac I.
100036,Rudy,Hernando,R,1939-06-10,USA,,,Hernando R.
100037,Nikola,Pilic,L,1939-08-27,CRO,191.0,Q452365,Pilic N.
100038,Jaime,Pinto Bravo,R,1939-10-09,CHI,178.0,Q18390167,Pinto Bravo J.
100039,Boro,Jovanovic,R,1939-10-21,CRO,,Q1259703,Jovanovic B.
100040,Bob,Hewitt,R,1940-01-12,RSA,190.0,Q52453,Hewitt B.
100041,Ned,Neely,R,1940-01-14,USA,,,Neely N.
100042,Ryoichi,Mori,R,1940-01-14,JPN,,,Mori R.
100043,Zdenek,Slizek,R,1940-02-19,CZE,,,Slizek Z.
100044,Sergei,Likhachev,R,1940-03-20,RUS,,Q3479599,Likhachev S.
100045,John,Paish,L,1940-03-23,GBR,,Q13512828,Paish J.
100046,Larry,Nagler,R,1940-07-01,USA,,,Nagler L.
100047,Bob,Carmichael,R,1940-07-04,AUS,183.0,Q1565064,Carmichael B.
100048,Earl Butch,Buchholz,R,1940-09-16,USA,188.0,Q195386,Buchholz E.
100049,Jim,Mcmanus,L,1940-09-16,USA,175.0,Q12957721,Mcmanus J.
100050,Martin,Mulligan,R,1940-10-18,AUS,,Q1291938,Mulligan M.
100051,Premjit,Lall,R,1940-10-20,IND,,Q1268979,Lall P.
100052,Keishiro,Yanagi,R,1941-02-24,JPN,,Q87798987,Yanagi K.
100053,Colin,Stubs,R,1941-02-27,AUS,,,Stubs C.
100054,Jose Edison,Mandarino,R,1941-03-26,BRA,173.0,,Mandarino J.
100055,Cliff,Drysdale,R,1941-05-26,RSA,188.0,Q582003,Drysdale C.
100056,Harald,Elschenbroich,R,1941-06-19,GER,,Q5653740,Elschenbroich H.
100057,Pierre,Barthes,R,1941-09-13,FRA,,Q1558013,Barthes P.
100058,Roger,Taylor,L,1941-10-14,GBR,183.0,Q1282421,Taylor R.
100059,Isao,Watanabe,R,1941-11-23,JPN,,Q87795355,Watanabe I.
100060,Marty,Riessen,R,1941-12-04,USA,185.0,Q1289530,Riessen M.
100061,Tom,Edlefsen,R,1941-12-12,USA,188.0,Q7815700,Edlefsen T.
100062,Francois,Jauffret,R,1942-02-09,FRA,180.0,Q1260078,Jauffret F.
100063,Billy,Higgins,R,1942-04-02,USA,,,Higgins B.
100064,Juan,Gisbert,R,1942-04-05,ESP,,Q1290022,Gisbert J.
100065,Terry,Ryan,R,1942-04-27,RSA,,Q23020633,Ryan T.
100066,Frank,Froehling,R,1942-05-19,USA,190.0,Q3082619,Froehling F.
100067,Frew,Mcmillan,R,1942-05-20,RSA,183.0,Q962512,Mcmillan F.
100068,Herb,Fitzgibbon,R,1942-07-14,USA,,Q1565884,Fitzgibbon H.
100069,Dennis,Ralston,R,1942-07-27,USA,188.0,Q1189457,Ralston D.
100070,Jan,Kukal,R,1942-09-13,CZE,,Q1258763,Kukal J.
100071,Jean Claude,Barclay,R,1942-12-30,FRA,,Q1561962,Barclay J.
100072,Bailey,Brown,R,1943-06-15,USA,,,Brown B.
100073,Mark,Cox,L,1943-07-05,GBR,185.0,Q1565058,Cox M.
100074,Arthur,Ashe,R,1943-07-10,USA,185.0,Q53325,Ashe A.
100075,Owen,Davidson,L,1943-10-04,AUS,185.0,Q976174,Davidson O.
100076,Milan,Holecek,R,1943-10-23,CZE,190.0,Q1563971,Holecek M.
100077,Daniel,Contet,R,1943-11-03,FRA,,Q1563980,Contet D.
100078,Clark,Graebner,R,1943-11-04,USA,188.0,Q1269127,Graebner C.
100079,Bill,Bowrey,R,1943-12-25,AUS,,Q577531,Bowrey B.
100080,Szabolcz,Baranyi,R,1944-01-31,HUN,,Q13512888,Baranyi S.
100081,Charlie,Pasarell,R,1944-02-12,USA,185.0,Q1269243,Pasarell C.
100082,Roger,Dowdeswell,R,1944-02-16,ZIM,,Q7358114,Dowdeswell R.
100083,Nicola,Spear,R,1944-02-22,SRB,,Q1258505,Spear N.
100084,Tom,Okker,R,1944-02-22,NED,178.0,Q455411,Okker T.
100085,Hans Joachim,Ploetz,R,1944-02-26,GER,,,Ploetz H.
100086,Frantisek,Pala,L,1944-03-28,CZE,,Q323289,Pala F.
100087,John,Newcombe,R,1944-05-23,AUS,183.0,Q312464,Newcombe J.
100088,Patricio,Cornejo,R,1944-06-06,CHI,180.0,Q1271345,Cornejo P.
100089,Patrice,Beust,R,1944-09-03,FRA,170.0,Q3368873,Beust P.
100090,Dick,Crealy,R,1944-09-18,AUS,191.0,Q962839,Crealy D.
100091,Colin,Dibley,R,1944-09-19,AUS,188.0,Q390839,Dibley C.
100092,Alex,Metreveli,R,1944-11-02,RUS,,Q465796,Metreveli A.
100093,William,Brown,R,1945-01-14,USA,,Q13512796,Brown W.
100094,Jim,Osborne,R,1945-02-01,USA,185.0,Q1562015,Osborne J.
100095,Tony,Bardsley,R,1945-02-09,CAN,,Q7821830,Bardsley T.
100096,Peter,Burwash,R,1945-02-10,CAN,175.0,Q7173087,Burwash P.
100097,Nicholas,Kalogeropoulos,R,1945-02-18,GRE,,Q3339850,Kalogeropoulos N.
100098,Ove,Bengtson,R,1945-04-05,SWE,196.0,Q374309,Bengtson O.
100099,Thomaz,Koch,L,1945-05-11,BRA,,Q1281836,Koch T.
100100,Tony,Roche,L,1945-05-17,AUS,178.0,Q710119,Roche T.
100101,Mike,Belkin,R,1945-06-29,CAN,,Q1563966,Belkin M.
100102,Joaquin,Loyo Mayo,R,1945-08-16,MEX,,Q1565143,Loyo Mayo J.
100103,Peter,Curtis,R,1945-08-29,GBR,,Q3376525,Curtis P.
100104,Richard,Russell,R,1945-09-08,JAM,,,Russell R.
100105,Allan,Stone,R,1945-10-14,AUS,,Q1260060,Stone A.
100106,Graham,Stilwell,R,1945-11-15,GBR,173.0,Q5593283,Stilwell G.
100107,Robert,Rheinberger,R,1945-11-18,AUS,,,Rheinberger R.
100108,Chris,Bovett,R,1945-12-25,GBR,,,Bovett C.
100109,Jun,Kuki,R,1945-12-28,JPN,,Q16267024,Kuki J.
100110,Terry,Addison,R,1946-01-11,AUS,180.0,Q13848246,Addison T.
100111,Ray,Keldie,R,1946-01-17,AUS,,Q7297691,Keldie R.
100112,John,Clifton,R,1946-02-19,GBR,,Q6226389,Clifton J.
100113,Jan,Kodes,R,1946-03-01,CZE,175.0,Q317431,Kodes J.
100114,Ray,Ruffels,R,1946-03-23,AUS,,Q1258947,Ruffels R.
100115,Jaime,Fillol,R,1946-06-03,CHI,180.0,Q1258592,Fillol J.
100116,Sherwood,Stewart,R,1946-06-06,USA,188.0,Q984213,Stewart S.
100117,Butch,Seewagen,R,1946-06-13,USA,188.0,Q18030909,Seewagen B.
100118,Ivan,Molina,L,1946-06-16,COL,,Q1281826,Molina I.
100119,Ilie,Nastase,R,1946-07-19,ROU,183.0,Q106113,Nastase I.
100120,Robert,Maud,R,1946-08-12,RSA,180.0,Q1565123,Maud R.
100121,Raymond,Moore,R,1946-08-24,RSA,183.0,Q1563090,Moore R.
100122,Julian,Ganzabal,R,1946-08-25,ARG,,Q22004451,Ganzabal J.
100123,Patrick,Hombergen,R,1946-09-08,BEL,,Q23023184,Hombergen P.
100124,Steve,Turner,R,1946-10-17,USA,,,Turner S.
100125,John,Cooper,R,1946-11-04,AUS,,Q1260301,Cooper J.
100126,Stan,Smith,R,1946-12-14,USA,193.0,Q54657,Smith S.
100127,Tom,Gorman,R,1946-01-19,USA,180.0,Q1258917,Gorman T.
100128,Cliff,Richey,R,1946-12-31,USA,175.0,Q1565885,Richey C.
100129,Jean Baptiste,Chanfreau,R,1947-01-17,FRA,,Q1563100,Chanfreau J.
100130,Vladimir,Zednik,R,1947-02-01,CZE,,Q1261168,Zednik V.
100131,Guillermo,Oropez,R,1947-02-07,USA,,,Oropez G.
100132,Armistead,Neely,R,1947-03-19,USA,,Q18085277,Neely A.
100133,Pat,Cramer,R,1947-03-21,RSA,,Q7143331,Cramer P.
100134,Roy,Barth,R,1947-03-30,USA,175.0,Q18240972,Barth R.
100135,Onny,Parun,R,1947-04-15,NZL,188.0,Q939026,Parun O.
100136,Humphrey,Hose,R,1947-05-04,VEN,,Q22005197,Hose H.
100137,Hans Jurgen,Pohmann,R,1947-05-23,GER,178.0,Q95218,Pohmann H.
100138,Dan,Bleckinger,R,1947-05-27,USA,,,Bleckinger D.
100139,Gerald,Battrick,R,1947-05-27,GBR,178.0,Q1565118,Battrick G.
100140,Steve,Faulk,R,1947-06-01,USA,,,Faulk S.
100141,Zeljko,Franulovic,R,1947-06-13,CRO,,Q1290977,Franulovic Z.
100142,Peter,Szoke,R,1947-08-08,HUN,,Q1563115,Szoke P.
100143,Peter,Fishbach,R,1947-08-29,USA,180.0,Q87758114,Fishbach P.
100144,Bob,Lutz,R,1947-08-29,USA,180.0,Q888085,Lutz B.
100145,Dick,Dell,R,1947-09-29,USA,,Q3026568,Dell D.
100146,Jun,Kamiwazumi,R,1947-10-01,JPN,,Q11588830,Kamiwazumi J.
100147,Marcello,Lara,R,1947-10-05,MEX,,Q1565079,Lara M.
100148,Ismail,El Shafei,R,1947-11-15,EGY,,Q402950,El Shafei I.
100149,Toshiro,Sakai,R,1947-11-23,JPN,,Q962038,Sakai T.
100150,Lito,Alvarez,R,1947-12-05,ARG,,Q963823,Alvarez L.
100151,Karl,Coombes,R,1947-12-17,AUS,180.0,Q16855126,Coombes K.
100152,David,Lloyd,R,1948-01-03,GBR,,Q3018308,Lloyd D.
100153,Patrice,Hagelauer,R,1948-01-05,FRA,188.0,Q3368955,Hagelauer P.
100154,Peter,Kanderal,R,1948-01-16,SUI,,Q86628337,Kanderal P.
100155,Ramiro,Benavides,R,1947-01-30,BOL,,,Benavides R.
100156,Jasjit,Singh,R,1948-02-04,IND,,Q18091541,Singh J.
100157,Stanley,Pasarell,R,1948-02-11,USA,185.0,,Pasarell S.
100158,John,Bartlett,R,1948-03-17,AUS,188.0,Q6220953,Bartlett J.
100159,Vladimir,Korotkov,R,1948-04-23,RUS,,Q12488,Korotkov V.
100160,Georges,Goven,R,1948-04-26,FRA,173.0,Q1563939,Goven G.
100161,Jurgen,Fassbender,R,1948-05-28,GER,,Q77578,Fassbender J.
100162,Brian,Fairlie,R,1948-06-13,NZL,173.0,Q1563153,Fairlie B.
100163,Tom,Leonard,R,1948-07-15,USA,175.0,Q1563959,Leonard T.
100164,Bill,Lofgren,R,1948-07-31,USA,,,Lofgren B.
100165,Steve,Siegel,R,1948-09-04,USA,,Q23023819,Siegel S.
100166,Gene,Malin,R,1948-10-01,USA,,,Malin G.
100167,Sever,Muresan,R,1948-10-23,ROU,,Q7457808,Muresan S.
100168,Kenneth,McMillan,R,1948-11-25,USA,,,McMillan K.
100169,Ian,Fletcher,R,1948-12-01,AUS,,Q3147262,Fletcher I.
100170,Bernard,Mignot,R,1948-12-03,BEL,,Q2898324,Mignot B.
100171,John,Yuill,R,1948-12-12,RSA,,Q3182800,Yuill J.
100172,Tito,Vazquez,R,1949-01-01,ARG,173.0,Q2040551,Vazquez T.
100173,Andrew,Pattison,R,1949-01-30,USA,188.0,Q716408,Pattison A.
100174,Manuel,Orantes,L,1949-02-06,ESP,178.0,Q318569,Orantes M.
100175,Zan,Guerry,R,1949-02-12,USA,,Q22278049,Guerry Z.
100176,Hans,Kary,L,1949-02-23,AUT,172.0,Q3126972,Kary H.
100177,Pavel,Hutka,R,1949-02-28,CZE,,Q7155624,Hutka P.
100178,Bob,Giltinan,R,1949-04-07,AUS,,Q2907669,Giltinan B.
100179,Karl,Meiler,R,1949-04-30,GER,178.0,Q89533,Meiler K.
100180,Bill,Lloyd,R,1949-05-07,AUS,,,Lloyd B.
100181,Larry,Turville,R,1949-06-04,USA,,,Turville L.
100182,Mike,Estep,R,1949-07-19,USA,173.0,Q4107672,Estep M.
100183,Jim,Ward,R,1949-07-28,USA,,,Ward J.
100184,Lars,Elvstrom,R,1949-08-18,DEN,,Q16064404,Elvstrom L.
100185,Patrick,Proisy,R,1949-09-10,FRA,180.0,Q1282611,Proisy P.
100186,Jeff,Borowiak,R,1949-09-25,USA,193.0,Q1565788,Borowiak J.
100187,Luis Felipe,Tavares,R,1949-09-26,BRA,,,Tavares L.
100188,John,Fort,R,1949-09-28,USA,,,Fort J.
100189,Dale,Power,R,1949-10-02,CAN,,Q5210590,Power D.
100190,Norman,Holmes,R,1949-10-05,USA,,,Holmes N.
100191,Doug,Crawford,R,1949-10-15,USA,188.0,,Crawford D.
100192,Kent,Crawford,R,1949-10-15,USA,,,Crawford K.
100193,Wanaro,N'Godrella,R,1949-10-19,FRA,,Q3566000,N'Godrella W.
100194,Larry,Parker,R,1949-10-23,USA,,,Parker L.
100195,Nicolas,Kelaidis,R,1949-10-29,GRE,178.0,Q27996064,Kelaidis N.
100196,Haroon,Rahim,R,1949-11-12,PAK,,Q1258703,Rahim H.
100197,Alejandro,Pierola,R,1949-11-20,CHI,,Q4714630,Pierola A.
100198,Alvaro,Betancur,R,1950-01-03,COL,,Q86431834,Betancur A.
100199,Patrice,Dominguez,L,1950-01-12,FRA,173.0,Q3368924,Dominguez P.
100200,Antonio,Zugarelli,R,1950-01-17,ITA,,Q267328,Zugarelli A.
100201,Syd,Ball,R,1950-01-24,AUS,188.0,Q1563900,Ball S.
100202,George,Amaya,L,1950-02-12,USA,173.0,,Amaya G.
100203,Phil,Dent,R,1950-02-14,AUS,183.0,Q976190,Dent P.
100204,Pancho,Walthall,L,1950-02-16,USA,,,Walthall P.
100205,Paul,Gerken,R,1950-03-15,USA,185.0,Q3371310,Gerken P.
100206,Kenichi,Hirai,R,1950-03-19,JPN,,Q17986761,Hirai K.
100207,Noel,Phillips,R,1950-03-28,AUS,,,Phillips N.
100208,Dick,Bohrnstedt,R,1950-04-28,USA,,Q16144736,Bohrnstedt D.
100209,George,Taylor,R,1950-05-04,USA,,,Taylor G.
100210,Steve,Docherty,R,1950-05-06,AUS,,Q7612404,Docherty S.
100211,Louk,Sanders,R,1950-05-09,NED,,Q2157904,Sanders L.
100212,F D,Robbins,R,1950-06-13,USA,,,Robbins F.
100213,Fred,Hemmes,U,1950-06-14,NED,,Q719304,Hemmes F.
100214,Adriano,Panatta,R,1950-07-09,ITA,183.0,Q375938,Panatta A.
100215,Fred,Mcnair,R,1950-07-22,USA,183.0,Q3086899,Mcnair F.
100216,Charlie,Owens,R,1950-07-31,USA,,Q5081403,Owens C.
100217,Bob,Mckinley,R,1950-08-05,USA,,Q7347560,Mckinley B.
100218,Butch,Palmer,R,1950-09-04,USA,,,Palmer B.
100219,Geoff,Masters,R,1950-09-19,AUS,,Q1260231,Masters G.
100220,Jiri,Hrebec,R,1950-09-19,CZE,,Q2057065,Hrebec J.
100221,Carlos,Kirmayr,R,1950-09-23,BRA,173.0,Q1042999,Kirmayr C.
100222,Mike,Powers,R,1950-09-24,USA,,,Powers M.
100223,Jeff,Simpson,R,1950-10-29,NZL,,Q6174987,Simpson J.
100224,Peter,Campbell,R,1950-11-10,AUS,,,Campbell P.
100225,Peter,Doerner,R,1950-11-17,AUS,,Q18010763,Doerner P.
100226,Mike,Machette,R,1951-01-27,USA,,Q13512805,Machette M.
100227,Alvin,Gardiner,R,1951-02-11,AUS,,Q22959202,Gardiner A.
100228,Kjell,Johansson,R,1951-02-12,SWE,,Q5886813,Johansson K.
100229,Dick,Stockton,R,1951-02-18,USA,188.0,Q967423,Stockton D.
100230,Welry,Fritz,R,1951-02-19,CAN,,,Fritz W.
100231,Erik,Van Dillen,R,1951-02-21,USA,183.0,Q1259691,Van Dillen E.
100232,Eddie,Dibbs,R,1951-02-23,USA,170.0,Q1282765,Dibbs E.
100233,Ricardo,Cano,R,1951-02-26,ARG,170.0,Q3430221,Cano R.
100234,Allan,McDonald,R,1951-03-01,AUS,,Q16855281,McDonald A.
100235,Antonio,Munoz,R,1951-03-01,ESP,,Q4776822,Munoz A.
100236,John,James,R,1951-03-07,AUS,183.0,Q6241493,James J.
100237,Bill,Freer,R,1951-03-09,RSA,,,Freer B.
100238,Rick,Fisher,R,1951-03-29,USA,,Q7331389,Fisher R.
100239,Hans,Engert,R,1951-04-22,GER,,Q1566665,Engert H.
100240,Joao,Soares,R,1951-04-25,BRA,185.0,Q6298385,Soares J.
100241,Joel,Bailey,R,1951-04-25,USA,,Q22095303,Bailey J.
100242,Mike,Collins,R,1951-05-01,GBR,,,Collins M.
100243,Steve,Krulevitz,R,1951-05-30,USA,175.0,Q7613081,Krulevitz S.
100244,John,Alexander,R,1951-07-04,AUS,190.0,Q1281683,Alexander J.
100245,Jeff,Austin,R,1951-07-05,USA,,Q6173248,Austin J.
100246,Frank,Puncec,R,1951-07-09,RSA,,Q62513964,Puncec F.
100247,Rolf,Thung,L,1951-07-27,NED,190.0,Q1821050,Thung R.
100248,Max,Hurlimann,R,1951-07-30,SUI,,,Hurlimann M.
100249,Paolo,Bertolucci,R,1951-08-03,ITA,175.0,Q484985,Bertolucci P.
100250,Woody,Blocher,R,1951-08-24,USA,173.0,Q87495855,Blocher W.
100251,Grover Raz,Reid,R,1951-08-27,USA,,,Reid G.
100252,Tim,Gullikson,R,1951-09-08,USA,180.0,Q962989,Gullikson T.
100253,Tom,Gullikson,L,1951-09-08,USA,180.0,Q1855348,Gullikson T.
100254,George,Glowa,R,1951-10-01,USA,188.0,,Glowa G.
100255,Roscoe,Tanner,L,1951-10-15,USA,183.0,Q54681,Tanner R.
100256,Luis,Baraldi,R,1951-10-21,MEX,,,Baraldi L.
100257,Ross,Case,R,1951-11-01,AUS,,Q1260196,Case R.
100258,Jorge,Andrew,R,1951-11-02,VEN,,Q11705726,Andrew J.
100259,Peter,Feigl,R,1951-11-30,AUT,183.0,Q3376565,Feigl P.
100260,Gary,Groslimond,R,1952-01-03,USA,,,Groslimond G.
100261,Brian,Gottfried,R,1952-01-27,USA,183.0,Q912255,Gottfried B.
100262,Rolf,Norberg,R,1952-01-31,SWE,,Q3440373,Norberg R.
100263,John,Andrews,R,1952-02-05,USA,,Q3180915,Andrews J.
100264,Lajos,Levai,R,1952-02-07,YUG,,,Levai L.
100265,Cliff,Letcher,R,1952-02-09,AUS,,Q2979053,Letcher C.
100266,John,Feaver,R,1952-02-16,GBR,190.0,Q6232841,Feaver J.
100267,Rayno,Seegers,R,1952-02-29,RSA,,Q18030745,Seegers R.
100268,Denis,Naegelen,R,1952-03-14,FRA,,Q5802672,Naegelen D.
100269,Joe,Garcia,R,1952-03-17,USA,,,Garcia J.
100270,Anand,Amritraj,R,1952-03-20,IND,185.0,Q2698644,Amritraj A.
100271,Jean Francois,Caujolle,L,1952-03-31,FRA,,Q3165519,Caujolle J.
100272,Sandy,Mayer,R,1952-04-05,USA,178.0,Q2096054,Mayer S.
100273,Kim,Warwick,R,1952-04-08,AUS,183.0,Q1741596,Warwick K.
100274,Eric,Deblicker,R,1952-04-17,FRA,178.0,Q3591073,Deblicker E.
100275,Hartmut,Kirchhubel,R,1952-04-23,GER,,Q22278629,Kirchhubel H.
100276,Terry,Moor,L,1952-04-23,USA,178.0,Q716901,Moor T.
100277,Jacques,Thamin,R,1952-05-23,FRA,,Q13365306,Thamin J.
100278,Frank,Gebert,R,1952-06-11,GER,,Q3082618,Gebert F.
100279,Mike,Cahill,R,1952-06-17,USA,183.0,Q6846222,Cahill M.
100280,Wojtek,Fibak,R,1952-08-03,POL,183.0,Q505565,Fibak W.
100281,Sashi,Menon,R,1952-08-09,IND,180.0,Q7425124,Menon S.
100282,Guillermo,Vilas,L,1952-08-17,ARG,180.0,Q201515,Vilas G.
100283,Andre,Zietsmann,R,1952-08-19,RSA,,,Zietsmann A.
100284,Jimmy,Connors,L,1952-09-02,USA,178.0,Q53393,Connors J.
100285,Rod,Frawley,R,1952-09-08,AUS,185.0,Q3438080,Frawley R.
100286,Harold,Solomon,R,1952-09-17,USA,168.0,Q1585949,Solomon H.
100287,Robin,Drysdale,R,1952-09-18,GBR,,Q3437059,Drysdale R.
100288,Tenny,Svensson,R,1952-09-21,SWE,,Q18085229,Svensson T.
100289,Byron,Bertram,R,1952-10-29,RSA,,Q1565274,Bertram B.
100290,Timothy,Noonan,R,1952-10-31,USA,,,Noonan T.
100291,Ian,Harris,R,1952-11-16,USA,,,Harris I.
100292,Alvaro,Fillol,R,1952-12-04,CHI,178.0,Q3576981,Fillol A.
100293,John,Marks,R,1952-12-09,AUS,,Q3181997,Marks J.
100294,Rejean,Genois,R,1952-12-30,CAN,175.0,Q7386114,Genois R.
100295,Richard,Legendre,R,1953-01-19,CAN,,Q3430975,Legendre R.
100296,Chris,Gunning,R,1953-02-07,NZL,,,Gunning C.
100297,Corrado,Barazzutti,R,1953-02-19,ITA,178.0,Q2713814,Barazzutti C.
100298,George,Hardie,L,1953-02-19,USA,,Q5540227,Hardie G.
100299,James Chico,Hagey,R,1953-02-25,USA,,,Hagey J.
100300,Jose,Higueras,R,1953-03-01,ESP,178.0,Q1348847,Higueras J.
100301,Jim,Delaney,R,1953-03-12,USA,,Q6132533,Delaney J.
100302,Joaquim,Rasgado Jr,R,1953-03-24,BRA,,,Rasgado Jr J.
100303,Henry,Bunis,R,1953-03-27,USA,,Q22677495,Bunis H.
100304,Bob,Kreiss,R,1953-04-30,USA,,Q16268937,Kreiss B.
100305,Mark,Farrell,R,1953-05-06,GBR,,Q3294072,Farrell M.
100306,Mike,Wayman,R,1953-05-06,GBR,,,Wayman M.
100307,Paul,Torre,R,1953-05-18,FRA,180.0,Q13512879,Torre P.
100308,Robert,Trogolo,R,1953-06-15,RSA,180.0,Q7350479,Trogolo R.
100309,Raul,Ramirez,R,1953-06-20,MEX,183.0,Q972727,Ramirez R.
100310,Mike,Myburg,R,1953-06-23,RSA,,Q13513068,Myburg M.
100311,Ulises,Quezada,R,1953-07-14,CHI,173.0,,Quezada U.
100312,Chiraid,Mukherjea,R,1953-08-14,IND,,,Mukherjea C.
100313,Keith,Richardson,R,1953-08-18,USA,185.0,,Richardson K.
100314,Bernard,Fritz,R,1953-10-05,FRA,173.0,Q2897929,Fritz B.
100315,Hank,Pfister,R,1953-10-09,USA,193.0,Q1144091,Pfister H.
100316,Scott,Carnahan,R,1953-10-24,USA,,,Carnahan S.
100317,Stephen,Warboys,R,1953-10-25,GBR,,Q27680824,Warboys S.
100318,Roger,Guedes,R,1953-11-03,BRA,,Q106602825,Guedes R.
100319,Rick,Fagel,R,1953-11-29,USA,180.0,Q7331375,Fagel R.
100320,Mark,Meyers,R,1953-12-05,USA,,,Meyers M.
100321,Vijay,Amritraj,R,1953-12-14,IND,193.0,Q468309,Amritraj V.
100322,Emilio,Montano,R,1953-12-18,MEX,,Q18159398,Montano E.
100323,Givaldo,Barbosa,R,1954-01-25,BRA,183.0,Q5565585,Barbosa G.
100324,John,Whitlinger,R,1954-02-04,USA,180.0,Q8172709,Whitlinger J.
100325,Ulrich,Pinner,R,1954-02-07,GER,178.0,Q78176,Pinner U.
100326,Russell,Simpson,R,1954-02-22,NZL,188.0,Q3784261,Simpson R.
100327,Willem,Prinsloo,L,1954-02-25,RSA,,Q92294368,Prinsloo W.
100328,Rand,Evett,R,1954-03-01,USA,,,Evett R.
100329,Otto,Panman,R,1954-03-25,NED,,,Panman O.
100330,David,Imonitie,R,1954-04-10,NGR,,,Imonitie D.
100331,Jean Louis,Haillet,R,1954-05-07,FRA,,Q735512,Haillet J.
100332,Balazs,Taroczy,R,1954-05-09,HUN,183.0,Q370019,Taroczy B.
100333,Shigeyuki,Nishio,R,1954-05-23,JPN,,Q62513568,Nishio S.
100334,Ernie,Ewert,R,1954-06-05,AUS,,Q17365472,Ewert E.
100335,David,Parker,R,1954-06-07,USA,,,Parker D.
100336,Guillermo,Aubone,L,1954-06-08,ARG,,Q5616118,Aubone G.
100337,Mark,Edmondson,R,1954-06-24,AUS,185.0,Q506606,Edmondson M.
100338,Benjy,Robins,R,1954-06-30,USA,175.0,,Robins B.
100339,Victor,Amaya,L,1954-07-02,USA,201.0,Q1748325,Amaya V.
100340,Sam,Vuille,R,1954-07-06,USA,,,Vuille S.
100341,Gonzalo,Nunez,R,1954-07-21,USA,,Q107031471,Nunez G.
100342,Vitas,Gerulaitis,R,1954-07-26,USA,183.0,Q53547,Gerulaitis V.
100343,John,Lloyd,R,1954-08-27,GBR,178.0,Q1360272,Lloyd J.
100344,Eric,Friedler,R,1954-09-08,USA,,Q24005201,Friedler E.
100345,Pat,Dupre,R,1954-09-16,USA,190.0,Q3368536,Dupre P.
100346,Paul,Kronk,R,1954-09-22,AUS,,Q3371590,Kronk P.
100347,Peter,Kronk,R,1954-09-22,AUS,,,Kronk P.
100348,Gerard,Toulon,R,1954-09-24,FRA,185.0,,Toulon G.
100349,Glen,Holroyd,R,1954-09-25,USA,,Q28595312,Holroyd G.
